key	text	tooltip
#Loc;1;text/ttw_unit_buffs.loc		
effects_description_ttw_unit_buffs_cavalry_lance	技能：所有骑兵部队获得技能：『骑枪阵型』	false
effects_description_ttw_unit_buffs_range_dig_in	技能：所有远程部队获得技能：『构筑阵地』	false
effects_description_ttw_unit_buffs_infantry_shieldwall	技能：所有步兵部队获得技能：『盾墙』	false
effects_description_ttw_unit_buffs_cavalry_charge	技能：所有骑兵部队获得技能：『势不可挡』	false
effects_description_ttw_unit_buffs_enable_damage_reflect_t1	技能：所有部队获得被动：『反伤刺甲』（I）	false
effects_description_ttw_unit_buffs_enable_damage_reflect_t2	技能：所有部队获得被动：『反伤刺甲』（II）	false
effects_description_ttw_unit_buffs_enable_damage_reflect_t3	技能：所有部队获得被动：『反伤刺甲』（III）	false
unit_abilities_onscreen_name_ttw_unit_buffs_damage_reflect_t1	反伤刺甲 I	true
unit_abilities_onscreen_name_ttw_unit_buffs_damage_reflect_t2	反伤刺甲 II	true
unit_abilities_onscreen_name_ttw_unit_buffs_damage_reflect_t3	反伤刺甲 III	true
unit_abilities_tooltip_text_ttw_unit_buffs_damage_reflect_t1	受到近战攻击时将部分伤害反弹给攻击者。	true
unit_abilities_tooltip_text_ttw_unit_buffs_damage_reflect_t2	受到近战攻击时将部分伤害反弹给攻击者。	true
unit_abilities_tooltip_text_ttw_unit_buffs_damage_reflect_t3	受到近战攻击时将部分伤害反弹给攻击者。	true
unit_abilities_additional_ui_effects_localised_text_ttw_unit_buffs_dr_reflect_t1	伤害反射 +10	false
unit_abilities_additional_ui_effects_localised_text_ttw_unit_buffs_dr_reflect_t2	伤害反射 +20	false
unit_abilities_additional_ui_effects_localised_text_ttw_unit_buffs_dr_reflect_t3	伤害反射 +30	false
